漢字,臺灣台語羅馬字
五十兆,gōo-tsa̍p-tiāu
五十一兆,gōo-tsa̍p-it-tiāu
五十二兆,gōo-tsa̍p-jī-tiāu
五十二兆,gōo-tsa̍p-lī-tiāu
五十三兆,gōo-tsa̍p-sann-tiāu
五十四兆,gōo-tsa̍p-sì-tiāu
五十五兆,gōo-tsa̍p-gōo-tiāu
五十六兆,gōo-tsa̍p-la̍k-tiāu
五十七兆,gōo-tsa̍p-tshit-tiāu
五十八兆,gōo-tsa̍p-peh-tiāu
五十八兆,gōo-tsa̍p-pueh-tiāu
五十九兆,gōo-tsa̍p-káu-tiāu
六十兆,la̍k-tsa̍p-tiāu
六十一兆,la̍k-tsa̍p-it-tiāu
六十二兆,la̍k-tsa̍p-jī-tiāu
六十二兆,la̍k-tsa̍p-lī-tiāu
六十三兆,la̍k-tsa̍p-sann-tiāu
六十四兆,la̍k-tsa̍p-sì-tiāu
六十五兆,la̍k-tsa̍p-gōo-tiāu
六十六兆,la̍k-tsa̍p-la̍k-tiāu
六十七兆,la̍k-tsa̍p-tshit-tiāu
六十八兆,la̍k-tsa̍p-peh-tiāu
六十八兆,la̍k-tsa̍p-pueh-tiāu
六十九兆,la̍k-tsa̍p-káu-tiāu
七十兆,tshit-tsa̍p-tiāu
七十一兆,tshit-tsa̍p-it-tiāu
七十二兆,tshit-tsa̍p-jī-tiāu
七十二兆,tshit-tsa̍p-lī-tiāu
七十三兆,tshit-tsa̍p-sann-tiāu
七十四兆,tshit-tsa̍p-sì-tiāu
七十五兆,tshit-tsa̍p-gōo-tiāu
七十六兆,tshit-tsa̍p-la̍k-tiāu
七十七兆,tshit-tsa̍p-tshit-tiāu
七十八兆,tshit-tsa̍p-peh-tiāu
七十八兆,tshit-tsa̍p-pueh-tiāu
七十九兆,tshit-tsa̍p-káu-tiāu
八十兆,peh-tsa̍p-tiāu
八十一兆,peh-tsa̍p-it-tiāu
八十二兆,peh-tsa̍p-jī-tiāu
八十二兆,peh-tsa̍p-lī-tiāu
八十三兆,peh-tsa̍p-sann-tiāu
八十四兆,peh-tsa̍p-sì-tiāu
八十五兆,peh-tsa̍p-gōo-tiāu
八十六兆,peh-tsa̍p-la̍k-tiāu
八十七兆,peh-tsa̍p-tshit-tiāu
八十八兆,peh-tsa̍p-peh-tiāu
八十八兆,peh-tsa̍p-pueh-tiāu
八十九兆,peh-tsa̍p-káu-tiāu
八十兆,pueh-tsa̍p-tiāu
八十一兆,pueh-tsa̍p-it-tiāu
八十二兆,pueh-tsa̍p-jī-tiāu
八十二兆,pueh-tsa̍p-lī-tiāu
八十三兆,pueh-tsa̍p-sann-tiāu
八十四兆,pueh-tsa̍p-sì-tiāu
八十五兆,pueh-tsa̍p-gōo-tiāu
八十六兆,pueh-tsa̍p-la̍k-tiāu
八十七兆,pueh-tsa̍p-tshit-tiāu
八十八兆,pueh-tsa̍p-peh-tiāu
八十八兆,pueh-tsa̍p-pueh-tiāu
八十九兆,pueh-tsa̍p-káu-tiāu
九十兆,káu-tsa̍p-tiāu
九十一兆,káu-tsa̍p-it-tiāu
九十二兆,káu-tsa̍p-jī-tiāu
九十二兆,káu-tsa̍p-lī-tiāu
九十三兆,káu-tsa̍p-sann-tiāu
九十四兆,káu-tsa̍p-sì-tiāu
九十五兆,káu-tsa̍p-gōo-tiāu
九十六兆,káu-tsa̍p-la̍k-tiāu
九十七兆,káu-tsa̍p-tshit-tiāu
九十八兆,káu-tsa̍p-peh-tiāu
九十八兆,káu-tsa̍p-pueh-tiāu
九十九兆,káu-tsa̍p-káu-tiāu
十幾,tsa̍p-kuí
二十幾,jī-tsa̍p-kuí
二十幾,lī-tsa̍p-kuí
三十幾,sann-tsa̍p-kuí
四十幾,sì-tsa̍p-kuí
五十幾,gōo-tsa̍p-kuí
六十幾,la̍k-tsa̍p-kuí
七十幾,tshit-tsa̍p-kuí
八十幾,peh-tsa̍p-kuí
八十幾,pueh-tsa̍p-kuí
九十幾,káu-tsa̍p-kuí
百幾,pah-kuí
一百幾,tsi̍t-pah-kuí
兩百幾,nn̄g-pah-kuí
二百幾,jī-pah-kuí
二百幾,lī-pah-kuí
三百幾,sann-pah-kuí
四百幾,sì-pah-kuí
五百幾,gōo-pah-kuí
六百幾,la̍k-pah-kuí
七百幾,tshit-pah-kuí
八百幾,peh-pah-kuí
八百幾,pueh-pah-kuí
九百幾,káu-pah-kuí
千幾,tshing-kuí
一千幾,tsi̍t-tshing-kuí
兩千幾,nn̄g-tshing-kuí
二千幾,jī-tshing-kuí
二千幾,lī-tshing-kuí
三千幾,sann-tshing-kuí
四千幾,sì-tshing-kuí
五千幾,gōo-tshing-kuí
六千幾,la̍k-tshing-kuí
七千幾,tshit-tshing-kuí
八千幾,peh-tshing-kuí
八千幾,pueh-tshing-kuí
九千幾,káu-tshing-kuí
萬幾,bān-kuí
一萬幾,tsi̍t-bān-kuí
兩萬幾,nn̄g-bān-kuí
二萬幾,jī-bān-kuí
二萬幾,lī-bān-kuí
三萬幾,sann-bān-kuí
四萬幾,sì-bān-kuí
五萬幾,gōo-bān-kuí
六萬幾,la̍k-bān-kuí
七萬幾,tshit-bān-kuí
八萬幾,peh-bān-kuí
八萬幾,pueh-bān-kuí
九萬幾,káu-bān-kuí
十萬幾,tsa̍p-bān-kuí
十一萬幾,tsa̍p-it-bān-kuí
十二萬幾,tsa̍p-jī-bān-kuí
十二萬幾,tsa̍p-lī-bān-kuí
十三萬幾,tsa̍p-sann-bān-kuí
十四萬幾,tsa̍p-sì-bān-kuí
十五萬幾,tsa̍p-gōo-bān-kuí
十六萬幾,tsa̍p-la̍k-bān-kuí
十七萬幾,tsa̍p-tshit-bān-kuí
十八萬幾,tsa̍p-peh-bān-kuí
十八萬幾,tsa̍p-pueh-bān-kuí
十九萬幾,tsa̍p-káu-bān-kuí
二十萬幾,jī-tsa̍p-bān-kuí
二十一萬幾,jī-tsa̍p-it-bān-kuí
二十二萬幾,jī-tsa̍p-jī-bān-kuí
二十三萬幾,jī-tsa̍p-sann-bān-kuí
二十四萬幾,jī-tsa̍p-sì-bān-kuí
二十五萬幾,jī-tsa̍p-gōo-bān-kuí
二十六萬幾,jī-tsa̍p-la̍k-bān-kuí
二十七萬幾,jī-tsa̍p-tshit-bān-kuí
二十八萬幾,jī-tsa̍p-peh-bān-kuí
二十九萬幾,jī-tsa̍p-káu-bān-kuí
二十萬幾,lī-tsa̍p-bān-kuí
二十一萬幾,lī-tsa̍p-it-bān-kuí
二十二萬幾,lī-tsa̍p-lī-bān-kuí
二十三萬幾,lī-tsa̍p-sann-bān-kuí
二十四萬幾,lī-tsa̍p-sì-bān-kuí
二十五萬幾,lī-tsa̍p-gōo-bān-kuí
二十六萬幾,lī-tsa̍p-la̍k-bān-kuí
二十七萬幾,lī-tsa̍p-tshit-bān-kuí
二十八萬幾,lī-tsa̍p-pueh-bān-kuí
二十九萬幾,lī-tsa̍p-káu-bān-kuí
三十萬幾,sann-tsa̍p-bān-kuí
三十一萬幾,sann-tsa̍p-it-bān-kuí
三十二萬幾,sann-tsa̍p-jī-bān-kuí
三十二萬幾,sann-tsa̍p-lī-bān-kuí
三十三萬幾,sann-tsa̍p-sann-bān-kuí
三十四萬幾,sann-tsa̍p-sì-bān-kuí
三十五萬幾,sann-tsa̍p-gōo-bān-kuí
